Word,Frequency
DONALD,48
TRUMP,49
WOW,2
BIG,11
ONES,5
TODAY,2
HUH,1
THIS,7
ROOM,2
LOADED,1
WEVE,13
GOT,13
STARS,2
A,1
LOT,16
YOU,16
THATS,19
GOOD,10
WELL,20
FINE,2
THANK,6
MUCH,16
IN,3
PAST,3
FOUR,3
MONTHS,7
ADDED,1
10,3
6,1
MILLION,6
JOBS,6
INCLUDING,3
643,1
MANUFACTURING,2
658,1
000,8
CONSTRUCTION,1
FAR,3
BEYOND,2
EXPECTATIONS,1
EXPERIENCED,3
SMALLEST,2
CONTRACTION,1
WESTERN,2
NATION,3
MEANING,1
AFFECTED,1
LESS,2
PROBABLY,5
ALMOST,2
I,117
THINK,37
PUT,9
US,6
SAW,1
NUMBERS,6
CATEGORY,1
ANYWHERE,2
FASTEST,2
RECOVERY,3
NOBODYS,2
RECOVERED,1
LIKE,14
RECOVERING,2
IF,6
FOLLOW,2
JOE,8
BIDENS,6
STRATEGY,1
WED,1
SHUT,1
ENTIRE,2
COUNTRY,20
SET,1
RECORDS,2
GROWTH,2
WE,20
ALSO,5
TREMENDOUS,2
RETAIL,1
YOUVE,2
NOTICED,1
WERE,4
WITNESSING,1
LABOR,1
MARKET,1
ECONOMIC,1
CRISIS,1
HISTORY,5
BY,2
CONTRAST,2
OBAMA,2
BIDEN,11
ADMINISTRATION,5
SLOWEST,1
WEAKEST,1
WORST,1
AMERICAN,8
KNOW,12
CONTINUE,2
MAKE,5
PROGRESS,4
FIGHT,2
CHINA,17
VIRUS,9
NEW,4
WEEKLY,1
CASES,5
DECLINED,2
44,1
SINCE,3
JULY,1
DEATHS,4
20,3
COMPARED,2
LAST,5
WEEK,4
GOING,30
RAPIDLY,5
REALLY,10
NATIONS,2
EUROPEAN,4
UNION,3
RECENTLY,1
SHARP,1
INCREASE,1
THEYRE,9
SPIKE,2
HOPEFULLY,3
SEE,16
FIVE,6
WEEKS,3
PER,2
CAPITA,1
DOUBLED,1
FRANCE,2
SURGED,1
300,1
SPAIN,3
IVE,2
HEARING,3
SPEAKING,1
LEADERS,2
HARD,3
TIME,17
INCREASED,1
400,2
ITALY,2
AND,47
REMEMBER,6
BAN,9
PEOPLE,33
COMING,5
EUROPE,4
IMPOSED,1
WUHAN,2
PRIMARILY,1
AREA,1
INFECTED,1
SO,8
HEAVILY,1
IMPACTED,1
YESTERDAY,2
50,4
UNITED,4
STATES,6
DONT,23
HEAR,3
THINGS,12
STATISTICS,3
DONE,12
IM,9
PROUD,1
EVERYBODY,6
WORKED,2
BELIEVE,1
ROUNDING,3
CORNER,2
VACCINES,8
RIGHT,9
BUT,19
EVEN,6
DISCUSSING,2
THERAPEUTICS,4
ALREADY,3
WAY,14
OBVIOUSLY,2
IMPACT,1
LOOK,12
BETTER,4
BEFORE,1
KNEW,10
DISEASE,4
ANYTHING,5
ON,1
SCHOOLS,2
PART,4
SCIENCE,2
BASED,4
APPROACH,4
WANT,28
SAFELY,3
OPEN,5
STAY,3
CHILDREN,2
EXTREMELY,1
LOW,3
RISK,3
COMPLICATIONS,1
0,2
2,5
CORONAVIRUS,1
OCCURRED,1
AGE,1
25,2
UNDERLYING,1
CONDITIONS,1
PROBLEM,6
THERES,8
SUBSTITUTE,1
PERSON,7
LEARNING,1
ACCORDING,2
RECENT,3
STUDY,1
STUDENT,2
MATH,1
DECREASED,1
HALF,2
USING,2
ONLINE,3
EDUCATION,2
CAMPUS,3
MANY,8
GREAT,16
NOTHING,4
CLASSROOM,1
LEARNED,1
WHOLE,3
ORDEAL,1
CDC,1
SCHOOL,4
CLOSURES,1
DISPROPORTIONATELY,1
HARM,1
INCOME,1
MINORITY,1
DISABILITIES,1
SLIDES,1
BEHIND,1
CURRENT,1
ITS,5
CRUCIAL,1
COLLEGES,3
UNIVERSITIES,1
HOPE,5
INDEED,1
SAY,11
FOOTBALL,2
HELP,3
BACK,14
TALKING,9
COME,5
MICHIGAN,5
AGREES,1
GOVERNOR,2
APPROVES,1
COUPLE,2
MARYLANDS,1
ANOTHER,3
ONE,10
PUTS,1
LITTLE,5
PRESSURE,1
FEELING,1
MAY,2
THEY,13
WITHOUT,2
MAYBE,11
MARYLAND,1
MIGHT,1
PARTICIPATE,1
WORKING,2
GET,6
PUSHING,1
IT,8
THING,3
PLAYERS,5
COACHES,1
BADLY,3
MISSING,2
YEARS,11
OPPORTUNITY,1
CHANCE,1
BEST,5
COLLEGE,1
NFL,2
MONEY,2
ABLE,2
EASY,3
PLAY,1
SAFER,1
STUDENTS,2
LIVE,1
YOUNG,1
WOULD,11
RATHER,1
ALTERNATIVE,2
THE,9
THEN,1
HOME,2
SPREADING,1
HIGH,1
AMERICANS,4
GO,11
PARENTS,1
DATA,1
SINGLE,1
TESTED,1
POSITIVE,1
HOSPITALIZED,3
AS,4
PROTECT,2
VANQUISH,1
CONTINUES,1
USE,5
PANDEMIC,3
POLITICAL,4
GAIN,1
EVERY,2
STARTS,2
HES,15
READING,3
TELEPROMPTER,4
ALLOWED,2
WHY,3
PHIL,7
ASK,2
QUESTIONS,1
HE,7
SAYS,2
MOVE,4
BIT,1
CLOSER,1
PLEASE,4
ID,1
TROUBLE,1
STORY,1
YEAR,4
WHEN,3
TOOK,2
EARLY,3
ACTION,1
JANUARY,1
TRAVEL,2
DEMOCRATS,2
PARTICULAR,2
CALLED,3
XENOPHOBIC,1
WILLING,1
SACRIFICE,1
LIVES,7
PLACATE,1
RADICAL,1
LEFT,2
BORDER,1
EXTREMISTS,1
SAVED,3
TENS,1
THOUSANDS,5
HUNDREDS,3
MILLIONS,1
CLOSING,1
OPENING,2
JOES,1
DECISION,1
PUBLICLY,2
ATTACK,2
PROVED,1
LACKS,1
CHARACTER,1
INTELLIGENCE,1
INSTINCT,3
NOW,7
LAUNCHED,1
PUBLIC,3
CAMPAIGN,5
VACCINE,1
BAD,14
INCREDIBLE,4
SCOTT,5
TELLING,2
HAPPENING,2
EXCITING,2
PURPOSES,1
ANTI,1
VAXXER,1
NEGATIVE,1
ESPECIALLY,1
STARTING,1
ACTUALLY,5
PERFECTLY,1
HAPPY,1
ENDANGER,1
SOMETHING,4
THINKS,3
POLITICALLY,3
POLLS,1
GETTING,4
SHAKY,1
ELECTION,3
QUICK,3
CAME,2
WORK,4
UNFORTUNATELY,1
DEVOTE,1
IMPORTANT,2
LOOKS,1
MEDIA,4
WANTS,1
ADMIT,1
GOTTEN,1
BASEMENT,1
LETS,3
HAPPENS,2
TALK,2
FACT,4
YOURE,3
IMPRESSIVE,1
UNSCIENTIFIC,1
BLANKET,1
LOCKED,1
TAKES,1
THROWS,1
WINDOW,1
RECOMMENDATION,1
EXPERTS,2
WHETHER,4
EXPERT,1
SHUTDOWNS,2
SHUTDOWN,2
WONT,4
THERE,2
COULD,8
SECTION,2
SMALL,1
BREAKOUT,1
DEPENDING,1
SWINE,4
FLU,13
DISASTER,4
NOT,3
