Word,Frequency
THE,230
PRESIDENT,262
THANK,43
MUCH,37
THIS,25
WEEK,20
AMERICA,13
CONTINUES,3
AGGRESSIVE,2
EFFORT,5
DEFEAT,2
VIRUS,29
ENTER,1
CRUCIAL,1
DIFFICULT,6
PHASE,7
BATTLE,6
WE,93
CONTINUE,11
SEND,9
PRAYERS,1
PEOPLE,111
NEW,54
YORK,21
JERSEY,21
WHOLE,7
COUNTRY,51
BUT,141
RIGHT,58
HOT,2
ZONES,1
WERE,34
EVERYBODY,16
YOUR,5
STRUGGLE,2
BEAT,2
TOGETHER,7
I,490
ALSO,56
WANT,110
BEST,8
WISHES,1
GOOD,54
FRIEND,3
MINE,2
NATION,4
PRIME,4
MINISTER,4
BORIS,6
JOHNSON,9
SADDENED,1
HEAR,8
TAKEN,8
INTENSIVE,7
CARE,26
AFTERNOON,2
LITTLE,22
AGO,14
AMERICANS,13
PRAYING,2
RECOVERY,1
HES,47
REALLY,79
SOMETHING,23
SPECIAL,3
STRONG,5
RESOLUTE,1
DOESNT,10
QUIT,1
GIVE,12
MADE,22
TREMENDOUS,18
PROGRESS,6
THERAPEUTICS,6
FANTASTIC,15
CALL,40
TODAY,38
ILL,28
TALKING,17
BIT,14
LATER,3
AND,338
IVE,25
ASKED,16
TWO,32
LEADING,1
COMPANIES,16
BRILLIANT,3
EBOLA,1
AIDS,1
OTHERS,9
THEYVE,21
COME,10
SOLUTIONS,1
DONE,53
INCREDIBLE,30
JOBS,2
CONTACT,3
LONDON,5
IMMEDIATELY,5
THEY,36
OFFICES,3
THEYRE,120
MAJOR,6
SIZE,1
GENIUS,1
TALK,24
FOUR,11
SPEAK,13
LANGUAGE,4
DONT,73
EVEN,22
UNDERSTAND,23
ADVANCED,1
THERAPEUTICALLY,1
ARRIVED,1
ALREADY,16
THEIR,1
OFFICE,1
WHATEVER,6
NEED,39
WELL,101
SEE,71
HELP,13
WEVE,35
CONTACTED,1
BORISS,1
DOCTORS,11
GOING,144
TAKE,41
PLACE,18
READY,13
GO,56
GET,66
BROUGHT,2
GETS,5
SERIOUS,6
PARTICULAR,3
DISEASE,6
SO,112
RATHER,6
COMPLEX,4
RESULTS,7
WORKING,28
FDA,6
ELSE,6
RESPECT,11
ACROSS,13
ATTACKING,2
ENEMY,3
FRONTS,1
INCLUDING,2
MEDICAL,26
SCIENTIFIC,1
SOCIAL,4
LOGISTICAL,1
ECONOMIC,3
PRESSING,1
ACTION,2
FULL,6
POWER,2
AMERICAN,30
GOVERNMENT,21
ENTERPRISE,1
MILITARY,31
SENT,11
3,9
000,32
PUBLIC,7
HEALTH,14
PERSONNEL,4
DEPLOYED,5
AREA,17
THEYLL,5
JAVITS,6
CENTER,5
GREAT,48
SHIP,17
PROBABLY,14
HEARD,18
INFORMED,6
GOVERNOR,39
CUOMO,8
TOLD,15
ANNOUNCED,8
CALLED,9
WHETHER,9
WOULD,37
POSSIBLE,9
USE,11
FIGHTING,3
HADNT,1
MIND,3
LET,28
MURPHY,6
SPOKE,16
HOTSPOT,1
USING,4
BIG,24
COVID,12
SET,2
HOPEFULLY,6
HELPFUL,2
STATES,57
2,7
900,2
BEDS,6
BUILT,14
MANNED,1
TOMORROW,1
START,13
SENDING,4
QUITE,5
ITS,54
CONVENIENT,1
MIDDLE,4
EVERYTHING,11
THATLL,2
APPRECIATED,1
CUOMOS,1
NICE,12
STATEMENTS,4
LIKEWISE,1
WORKED,8
FRANKLY,12
GOVERNORS,35
VICE,37
PENCE,3
MORNING,5
LASTED,3
CLOSE,10
HOURS,3
WASNT,5
NEGATIVE,2
PERSON,19
FIFTY,2
THINK,91
UNDERSTOOD,4
POSITIVE,6
FEDERAL,17
YOULL,5
AMAZING,2
ACTUALLY,13
NATIONWIDE,4
ARMY,2
CORPS,5
ENGINEERS,2
BUILDING,5
22,4
FIELD,4
HOSPITALS,29
ALTERNATE,2
SITES,3
18,6
COMBINATION,2
IN,12
ADDITION,1
SMALLER,4
VERSION,1
HOSPITAL,19
LOT,37
DIFFERENT,25
TOTAL,4
8,5
450,1
STOCKPILES,1
KNOW,144
PERIOD,9
WEEKS,8
MORE,2
VENTILATORS,19
NATIONAL,18
STOCKPILE,18
CITIES,5
BACKED,1
DEFENSE,3
PRODUCTION,2
ACT,1
USED,7
STRONGLY,6
POWERFULLY,2
GETTING,18
EVER,15
BARGAINED,1
INDUSTRY,2
STEPPING,4
MANUFACTURERS,4
TOWN,1
THOUSANDS,5
HUNDREDS,2
LOCATIONS,5
ROLL,2
ALMOST,6
10,9
WHEN,12
SAY,50
MEAN,39
EXACTLY,13
WHEREVER,3
MONSTER,2
GOES,7
ABLE,20
MOVE,5
FLEXIBILITY,2
WAITING,3
WILLING,3
BRING,8
MAY,30
IF,22
WONT,5
NEEDED,7
FULLY,4
STOCKED,1
NUMBERS,16
COMING,24
FEWER,4
VISITS,2
COULD,21
CASE,6
IT,36
ORIGINAL,1
PROJECTIONS,4
ANYWAY,2
HAPPY,21
EXTREMELY,2
ESPECIALLY,5
FEMA,10
HHS,4
DIRECTLY,13
DISTRIBUTED,5
11,3
7,3
MILLION,23
N95,3
RESPIRATORS,2
NUMBER,22
26,1
5,9
SURGICAL,2
MASKS,6
FACE,5
SHIELDS,4
4,4
GOWNS,2
6,3
GLOVES,3
ARRANGED,1
VAST,2
QUANTITIES,2
ADDITIONAL,5
MATERIALS,1
ALLOCATED,2
DONATIONS,3
EXISTING,1
SUPPLY,7
CHAINS,2
GIVEN,3
MATERIAL,2
SUPPLIES,25
THROUGHOUT,3
50,10
TERRITORIES,2
PROJECT,2
AIRBRIDGE,1
SUCCEEDED,1
BRINGING,6
PLANELOADS,1
VITAL,1
UNITED,13
OVERSEAS,1
THREE,6
THESE,14
MASSIVE,3
PLANES,7
WAY,33
POWERFUL,1
LOADED,1
GILLS,1
DISCUSSED,2
SAVE,8
STEP,2
TIMELY,1
BECAUSE,12
ACTIONS,2
DPA,1
ANNOUNCE,1
REACHED,1
AGREEMENT,2
AMICABLE,1
3M,5
DELIVERY,2
55,1
HIGH,3
QUALITY,2
FACEMASK,1
FACEMASKS,1
MONTH,4
NEXT,11
COUPLE,16
MONTHS,4
166,2
FRONTLINE,4
HEALTHCARE,23
WORKERS,21
SAGA,1
ENDS,1
HAPPILY,1
PROUD,2
DEALING,6
CEO,1
MIKE,22
ROMAN,1
THANKED,1
COMPANY,4
MOSTLY,3
THATS,75
OKAY,35
APPLE,2
ONE,48
MANY,42
LEAPT,1
PRODUCING,1
PLASTIC,1
RATE,4
1,11
PER,5
TELEVISION,1
HIGHEST,1
LEVEL,10
SAFETY,1
GRATEFUL,4
SALESFORCE,2
DONATED,2
48,2
PIECES,2
PERSONAL,4
PROTECTIVE,3
EQUIPMENT,7
SUITS,1
URGE,2
NATIONS,4
ENSURE,4
DELIVERIES,1
PAST,4
QUICKLY,10
NOW,11
OH,9
PHONE,6
STRAIGHT,2
SHOOTER,1
CONVERSATION,13
TELECONFERENCE,1
EVERY,32
NEGATIVES,1
NO,22
SIR,19
GREATEST,7
JOB,44
APPRECIATE,7
APPRECIATES,3
MR,34
ANTHONY,2
ARENT,3
A,16
MAN,11
THINGS,32
SEEM,1
MAKE,33
SHORT,6
IMPORTANTLY,1
SURGE,5
COMES,3
HALF,7
PROFESSIONALS,4
TELL,36
US,50
SHAPE,5
TIMING,2
STUFF,5
PART,10
RESOURCES,11
VARIOUS,1
LOOKING,17
LIKE,50
REACH,2
WARRIORS,4
TIME,34
SAW,8
YOUNG,3
CASES,19
OLDER,1
WALKING,2
PUTTING,14
DOOR,2
OPENED,1
SAFE,2
OUTFITS,1
TRULY,2
WATCH,3
WAR,4
MOVIES,1
OLD,13
CLIPS,1
RUNNING,5
HILLS,2
THING,20
MEN,3
WOMEN,6
THINKING,4
GEE,1
DANGEROUS,1
SAYING,15
DOORS,3
BEAUTIFUL,3
MAKING,14
SURE,24
RESPONSIBILITY,1
DISTRIBUTE,2
OR,6
LAND,1
WITHOUT,4
STATE,37
DIFFICULTY,2
DISTRIBUTING,2
GUARD,4
ASSIST,1
DEBORAH,7
YOUVE,11
TONY,6
GROUP,1
STARS,3
SUPPOSED,6
CONVERSELY,1
BELIEVES,2
SURPLUS,2
IMPORTANT,14
GOTTEN,7
KEPT,3
LINE,1
LOW,4
RAPIDLY,5
REDEPLOY,1
AREAS,12
THOUGHT,13
MIGHT,7
HAPPEN,15
HAPPENING,7
GAVIN,4
NEWSOM,4
WHOS,7
CALIFORNIA,11
500,5
ARIZONA,1
SOME,2
WASHINGTON,11
D,2
C,2
DELAWARE,3
EXCESS,1
THOSE,4
DECISIONS,3
MEMBERS,2
WHITE,3
HOUSE,8
TASK,6
FORCE,8
TOUCH,1
MAYORS,2
ADMINISTRATORS,1
PRESENT,5
CRITICAL,2
NEEDS,6
MET,1
SHARING,1
DETAILED,1
INFORMATION,9
AMOUNT,3
UTILIZATION,1
RATES,1
